Title,Artist Display Name,Period,Object Date,Classification,Link Resource
松に鷹図大津絵|Ōtsu-e of Falcon on a Pine Tree,,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/36116
明  佚名 雪景山水圖 鏡框|Snowscape,Unidentified artist,Ming dynasty (1368–1644),17th century,Paintings,http://www.metmuseum.org/art/collection/search/36119
清　陳字　洗象圖　軸|Washing the White Elephant,Chen Zi,Qing dynasty (1644–1911),undated,Paintings,http://www.metmuseum.org/art/collection/search/36120
,Zhang Bi,Ming dynasty (1368–1644),dated 1478,Paintings,http://www.metmuseum.org/art/collection/search/36123
清   清初八大家山水冊|Landscapes Painted for Wang Kui,Wang Jian,Qing dynasty (1644–1911),1674–76,Paintings,http://www.metmuseum.org/art/collection/search/36129
清　龔賢　十二月令山水圖　冊|Landscapes of the Twelve Months,Gong Xian,Qing dynasty (1644–1911),ca. 1685,Paintings,http://www.metmuseum.org/art/collection/search/36130
清   龔賢   墨筆山水詩畫   冊|清　龔賢　自題 山水十六開   冊|Landscapes with poems,Gong Xian,Qing dynasty (1644–1911),1688,Paintings,http://www.metmuseum.org/art/collection/search/36131
清　李寅　高閣觀瀑圖　軸|Viewing a waterfall from a mountain pavilion,Li Yin,Qing dynasty (1644–1911),1700,Paintings,http://www.metmuseum.org/art/collection/search/36133
清    倣  梅清  黃海雲濤圖    扇頁|Peaks of Mount Huang,Mei Qing,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36134
明   文嘉   為項元汴作山水圖   軸|Landscape dedicated to Xiang Yuanbian,Wen Jia,Ming dynasty (1368–1644),dated 1578,Paintings,http://www.metmuseum.org/art/collection/search/36135
明   張祐   萬古春風圖   軸|Spring Breeze of Myriad Pasts,Zhang You,Ming dynasty (1368–1644),mid-15th century,Paintings,http://www.metmuseum.org/art/collection/search/36136
南宋  佚名  猿鹿圖  冊頁|Gibbons and Deer,Unidentified artist,Southern Song dynasty (1127–1279),,Paintings,http://www.metmuseum.org/art/collection/search/36137
明  傳謝時臣  松溪琴客圖  軸|Listening to the Zither Among Streams and Pines,Xie Shichen,Ming dynasty (1368–1644),,Paintings,http://www.metmuseum.org/art/collection/search/36138
,Gao Xiang,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36139
明   佚名  全室宗泐題贊   白衣觀音圖   軸|White-Robed Guanyin,Unidentified,Ming dynasty (1368–1644),late 14th century,Paintings,http://www.metmuseum.org/art/collection/search/36140
南宋  佚名  倣夏珪  冒雨尋莊圖  團扇|Returning Home in a Driving Rain,Xia Gui,Southern Song dynasty (1127–1279),early 13th century,Paintings,http://www.metmuseum.org/art/collection/search/36141
白衣観音図|White-robed Kannon,,Nanbokuchō period (1336–92),14th century,Paintings,http://www.metmuseum.org/art/collection/search/36143
,Ren Yi (Ren Bonian),Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36144
清  汪恭  摹趙孟頫肖像  軸|Copy of a Portrait of Zhao Mengfu,Wang Gong|Unidentified artist,Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36146
清  改琦  插花圖  軸|Girl Arranging Flowers,Gai Qi,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36147
清  謝蘭生  山水  軸|Landscape,Xie Lansheng,Qing dynasty (1644–1911),dated the 7th month of 1815,Paintings,http://www.metmuseum.org/art/collection/search/36148
清   潘思牧   鶴林煙雨   軸|Mist and Rain in Helin,Pan Simu,Qing dynasty (1644–1911),1841,Paintings,http://www.metmuseum.org/art/collection/search/36149
清  黃均  山水  軸|Landscape,Huang Jun,Qing dynasty (1644–1911),dated Spring 1846,Paintings,http://www.metmuseum.org/art/collection/search/36150
清  湯貽汾  山水  軸|Landscape,Tang Yifen,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36151
清  李修易  山水  軸|Landscape,Li Xiuyi,Qing dynasty (1644–1911),dated 1843,Paintings,http://www.metmuseum.org/art/collection/search/36152
清　戴熙　仿古山水四屏　軸|Landscapes after old masters,Dai Xi,Qing dynasty (1644–1911),mid-19th century,Paintings,http://www.metmuseum.org/art/collection/search/36153
清  汪廷儒  山水  扇頁|Landscape,Wang Tingru,Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36154
清  程庭鷺  山水  冊頁|Landscape,Cheng Tinglu,Qing dynasty (1644–1911),dated 1827,Paintings,http://www.metmuseum.org/art/collection/search/36155
清  沈焯  山水  冊頁|Landscape,Shen Zhuo,Qing dynasty (1644–1911),dated 1827,Paintings,http://www.metmuseum.org/art/collection/search/36156
清  劉德六  松鼠葡萄  扇面|Squirrel and Grape,Liu Deliu,Qing dynasty (1644–1911),dated 1868,Paintings,http://www.metmuseum.org/art/collection/search/36157
"清  吳熙載  水仙紅豆圖  軸|Narcissus, Fungus, and Nandina",Wu Xizai,Qing dynasty (1644–1911),dated 1852,Paintings,http://www.metmuseum.org/art/collection/search/36158
"清  周存伯  花卉對屏  軸|Flowers: (a) Peach-blossom and Spiritual Stone; (b) Camellia, Narcissus and Buddha's Hand",Zhou Cunbo,Qing dynasty (1644–1911),dated 1870,Paintings,http://www.metmuseum.org/art/collection/search/36159
